chrom	start	end	section_genes
chr1	1275029	1275088	MIR6808,DVL1
chr1	1275088	1284492	DVL1
chr1	1284492	1288068	
chr1	1288068	1293927	MXRA8
chr1	1293927	1294174	MXRA8
chr1	1294174	1297157	MXRA8
chr1	1297157	1298921	MXRA8
chr1	1298921	1309109	
chr1	1309109	1309110	AURKAIP1
chr1	1309110	1310562	AURKAIP1
chr1	1310562	1310580	AURKAIP1
chr1	1310580	1310818	AURKAIP1
chr1	1310818	1321090	
chr1	1321090	1327667	CCNL2
chr1	1327667	1333722	CCNL2
chr1	1333722	1334718	CCNL2
chr1	1334718	1334722	CCNL2
chr1	1334722	1334909	
chr1	1334909	1337275	LOC148413
chr1	1337275	1337288	MRPL20,LOC148413
chr1	1337288	1337426	MRPL20,LOC148413
chr1	1337426	1342693	MRPL20
chr1	1342693	1353799	
chr1	1353799	1356824	ANKRD65
chr1	1356824	1361507	
chr1	1361507	1363167	TMEM88B
chr1	1363167	1365536	
chr1	1365536	1369953	LINC01770
chr1	1369953	1370902	
chr1	1370902	1378262	VWA1
chr1	1378262	1385068	
chr1	1385068	1405538	ATAD3C
chr1	1405538	1407134	
chr1	1407134	1413494	ATAD3B
chr1	1413494	1431584	ATAD3B
chr1	1431584	1447522	
chr1	1447522	1447909	ATAD3A
chr1	1447909	1470067	ATAD3A
chr1	1470067	1470157	
chr1	1470157	1475740	TMEM240
chr1	1475740	1477052	
chr1	1477052	1510262	SSU72
chr1	1510262	1533387	
chr1	1533387	1534812	FNDC10
chr1	1534812	1535476	LOC105378586,FNDC10
chr1	1535476	1542590	LOC105378586
chr1	1542590	1550794	
chr1	1550794	1551244	MIB2
chr1	1551244	1552702	MIB2
chr1	1552702	1565990	MIB2
chr1	1565990	1567559	
chr1	1567559	1568158	MMP23B
chr1	1568158	1570027	MMP23A,MMP23B
chr1	1570027	1570030	MMP23B
chr1	1570030	1570602	
chr1	1570602	1592938	CDK11B
chr1	1592938	1624243	SLC35E2B,CDK11B
chr1	1624243	1631377	CDK11B
chr1	1631377	1633247	MMP23A,CDK11B
chr1	1633247	1633822	CDK11B
chr1	1633822	1655859	CDK11A,CDK11B
chr1	1655859	1656004	CDK11A
chr1	1656004	1656276	
chr1	1656276	1658823	SLC35E2
chr1	1658823	1677438	SLC35E2
chr1	1677438	1682670	
chr1	1682670	1690081	NADK
chr1	1690081	1709909	NADK
chr1	1709909	1709928	NADK
chr1	1709928	1710297	NADK
chr1	1710297	1711508	NADK
chr1	1711508	1711586	NADK
chr1	1711586	1716723	
chr1	1716723	1822556	GNB1
chr1	1822556	1846265	
chr1	1846265	1848733	CALML6
chr1	1848733	1849028	
chr1	1849028	1850740	TMEM52
chr1	1850740	1853389	
chr1	1853389	1935276	CFAP74
chr1	1935276	1950767	
chr1	1950767	1962192	GABRD
chr1	1962192	1980639	
chr1	1980639	1981509	LOC105378591
chr1	1981509	1981908	
chr1	1981908	2004900	PRKCZ
chr1	2004900	2005424	PRKCZ
chr1	2005424	2036154	PRKCZ
chr1	2036154	2113232	PRKCZ
chr1	2113232	2115314	PRKCZ,PRKCZ-AS1
chr1	2115314	2115898	PRKCZ
chr1	2115898	2116838	PRKCZ,FAAP20
chr1	2116838	2120987	FAAP20
chr1	2120987	2123333	FAAP20
chr1	2123333	2126214	FAAP20
chr1	2126214	2139172	FAAP20
chr1	2139172	2144159	FAAP20
chr1	2144159	2160133	
chr1	2160133	2241652	SKI
chr1	2241652	2252691	
chr1	2252691	2281852	MORN1
chr1	2281852	2284100	MORN1,LOC100129534
chr1	2284100	2286613	MORN1
chr1	2286613	2306292	MORN1
chr1	2306292	2323190	MORN1
chr1	2323190	2323213	
chr1	2323213	2336240	RER1
chr1	2336240	2336885	RER1,PEX10
chr1	2336885	2344010	PEX10
chr1	2344010	2398897	
chr1	2398897	2407753	PLCH2
chr1	2407753	2436969	PLCH2
chr1	2436969	2439969	
chr1	2439969	2458067	PANK4
chr1	2458067	2460183	
chr1	2460183	2461684	HES5
chr1	2461684	2481358	
chr1	2481358	2487803	TNFRSF14-AS1
chr1	2487803	2488450	TNFRSF14,TNFRSF14-AS1
chr1	2488450	2497061	TNFRSF14
chr1	2497061	2497973	
chr1	2497973	2515973	LOC100996583
chr1	2515973	2517898	
chr1	2517898	2518188	FAM213B
chr1	2518188	2522080	FAM213B
chr1	2522080	2522908	MMEL1,FAM213B
chr1	2522908	2564481	MMEL1
chr1	2564481	2572806	
chr1	2572806	2706230	TTC34
chr1	2706230	2938045	
chr1	2938045	2939467	ACTRT2
chr1	2939467	2976180	
chr1	2976180	2980635	LINC00982
chr1	2980635	2984289	LINC00982
chr1	2984289	2985741	
chr1	2985741	3044538	PRDM16
chr1	3044538	3044599	MIR4251,PRDM16
chr1	3044599	3355185	PRDM16
chr1	3355185	3371146	
chr1	3371146	3397677	ARHGEF16
chr1	3397677	3404505	
chr1	3404505	3477259	MEGF6
chr1	3477259	3477354	MEGF6,MIR551A
chr1	3477354	3528059	MEGF6
chr1	3528059	3541555	
chr1	3541555	3546694	TPRG1L
chr1	3546694	3547330	
chr1	3547330	3566671	WRAP73
chr1	3566671	3569128	
chr1	3569128	3607235	TP73
chr1	3607235	3614609	TP73
chr1	3614609	3652547	TP73
chr1	3652547	3652765	TP73-AS1,TP73
chr1	3652765	3663335	TP73-AS1
chr1	3663335	3663937	TP73-AS1
chr1	3663937	3668964	
chr1	3668964	3688209	CCDC27
chr1	3688209	3689324	
chr1	3689324	3689350	SMIM1
chr1	3689350	3692546	SMIM1
chr1	3692546	3696783	
chr1	3696783	3713068	LRRC47
chr1	3713068	3728644	
chr1	3728644	3773797	CEP104
chr1	3773797	3773830	
chr1	3773830	3801993	DFFB
chr1	3801993	3805696	
chr1	3805696	3816857	C1orf174
chr1	3816857	3816967	
chr1	3816967	3832011	LINC01134
chr1	3832011	4000671	
chr1	4000671	4007208	LINC01346
chr1	4007208	4009040	LINC01345,LINC01346
chr1	4009040	4012643	LINC01346
chr1	4012643	4472110	
chr1	4472110	4484744	LINC01777
chr1	4484744	4631546	
chr1	4631546	4643764	LINC01646
chr1	4643764	4715104	
chr1	4715104	4837854	AJAP1
chr1	4837854	4843851	AJAP1
chr1	4843851	5624130	
chr1	5624130	5624203	MIR4417
chr1	5624203	5922731	
chr1	5922731	5922801	MIR4689
chr1	5922801	5922867	
chr1	5922867	6052357	NPHP4
chr1	6052357	6052533	KCNAB2,NPHP4
chr1	6052533	6086072	KCNAB2
chr1	6086072	6094347	KCNAB2
chr1	6094347	6105980	KCNAB2
chr1	6105980	6106173	KCNAB2
chr1	6106173	6161253	KCNAB2
chr1	6161253	6161846	
chr1	6161846	6240194	CHD5
chr1	6240194	6245079	
chr1	6245079	6259679	RPL22
chr1	6259679	6264899	
chr1	6264899	6265840	LOC102724450
chr1	6265840	6266188	
chr1	6266188	6281252	RNF207
chr1	6281252	6281359	RNF207,ICMT
chr1	6281359	6296044	ICMT
chr1	6296044	6296299	
chr1	6296299	6299502	LINC00337
chr1	6299502	6304251	
chr1	6304251	6305638	HES3
chr1	6305638	6307405	
chr1	6307405	6321035	GPR153
chr1	6321035	6324331	
chr1	6324331	6419004	ACOT7
chr1	6419004	6420764	ACOT7
chr1	6420764	6445883	ACOT7
chr1	6445883	6453826	ACOT7
chr1	6453826	6475293	
chr1	6475293	6479979	HES2
chr1	6479979	6484847	
chr1	6484847	6489893	ESPN
chr1	6489893	6489956	MIR4252,ESPN
chr1	6489956	6521004	ESPN
chr1	6521004	6521213	
chr1	6521213	6524170	TNFRSF25
chr1	6524170	6526151	TNFRSF25
chr1	6526151	6526255	TNFRSF25,PLEKHG5
chr1	6526255	6545529	PLEKHG5
chr1	6545529	6546014	PLEKHG5
chr1	6546014	6550640	PLEKHG5
chr1	6550640	6550654	PLEKHG5
chr1	6550654	6551761	PLEKHG5
chr1	6551761	6557156	PLEKHG5
chr1	6557156	6557484	PLEKHG5
chr1	6557484	6580121	PLEKHG5
chr1	6580121	6581406	
chr1	6581406	6614658	NOL9
chr1	6614658	6615337	
chr1	6615337	6639817	TAS1R1
chr1	6639817	6640050	
chr1	6640050	6649340	ZBTB48
chr1	6649340	6650783	
chr1	6650783	6662958	KLHL21
chr1	6662958	6673755	
chr1	6673755	6684093	PHF13
chr1	6684093	6684924	
chr1	6684924	6685209	THAP3
chr1	6685209	6693642	THAP3
chr1	6693642	6694227	THAP3
chr1	6694227	6695646	THAP3,DNAJC11
chr1	6695646	6761966	DNAJC11
chr1	6761966	6784804	
chr1	6784804	6787586	LINC01672
chr1	6787586	6790072	LINC01672
chr1	6790072	6843951	
chr1	6843951	6845040	CAMTA1-DT
chr1	6845040	6845383	
chr1	6845383	6932107	CAMTA1
chr1	6932107	6948261	CAMTA1
chr1	6948261	7442547	CAMTA1
chr1	7442547	7448242	CAMTA1,LOC102725193
chr1	7448242	7449814	CAMTA1,LOC102725193
chr1	7449814	7729789	CAMTA1
chr1	7729789	7729803	CAMTA1
chr1	7729803	7729824	CAMTA1
chr1	7729824	7740147	CAMTA1
chr1	7740147	7764864	CAMTA1
chr1	7764864	7764897	CAMTA1
chr1	7764897	7764904	CAMTA1
chr1	7764904	7764912	CAMTA1
chr1	7764912	7764917	CAMTA1
chr1	7764917	7764923	CAMTA1
chr1	7764923	7829766	CAMTA1
chr1	7829766	7831328	
chr1	7831328	7841492	VAMP3
chr1	7841492	7844488	
chr1	7844488	7905240	PER3
chr1	7905240	7907671	
chr1	7907671	7913104	UTS2
chr1	7913104	7913551	UTS2
chr1	7913551	7975930	
chr1	7975930	8003225	TNFRSF9
chr1	8003225	8021713	
chr1	8021713	8045342	PARK7
chr1	8045342	8071778	
chr1	8071778	8086393	ERRFI1
chr1	8086393	8268731	
chr1	8268731	8275268	LINC01714
chr1	8275268	8378144	
chr1	8378144	8404227	SLC45A1
chr1	8404227	8412463	
chr1	8412463	8483747	RERE
chr1	8483747	8484704	RERE
chr1	8484704	8495076	LOC102724552,RERE
chr1	8495076	8554859	RERE
chr1	8554859	8554973	RERE,SNORD128
chr1	8554973	8877699	RERE
chr1	8877699	8921060	
chr1	8921060	8926560	ENO1
chr1	8926560	8926649	ENO1,MIR6728
chr1	8926649	8938745	ENO1
chr1	8938745	8938893	
chr1	8938893	8939943	ENO1-AS1
chr1	8939943	9005892	
chr1	9005892	9034503	CA6
chr1	9034503	9035148	CA6
chr1	9035148	9063358	
chr1	9063358	9086404	SLC2A7
chr1	9086404	9097004	
chr1	9097004	9101426	SLC2A5
chr1	9101426	9129887	SLC2A5
chr1	9129887	9132286	SLC2A5
chr1	9132286	9164475	
chr1	9164475	9189229	GPR157
chr1	9189229	9208069	
chr1	9208069	9211726	MIR34AHG
chr1	9211726	9211836	MIR34AHG,MIR34A
chr1	9211836	9242262	MIR34AHG
chr1	9242262	9242397	LINC01759,MIR34AHG
chr1	9242397	9252144	LINC01759
chr1	9252144	9294862	
chr1	9294862	9299902	H6PD
chr1	9299902	9331394	H6PD
chr1	9331394	9352940	
chr1	9352940	9429590	SPSB1
chr1	9429590	9485152	
chr1	9485152	9488975	LOC100506022
chr1	9488975	9489055	LOC100506022
chr1	9489055	9599527	
chr1	9599527	9642831	SLC25A33
chr1	9642831	9648931	
chr1	9648931	9665020	TMEM201
chr1	9665020	9674935	TMEM201
chr1	9674935	9711788	
chr1	9711788	9712667	PIK3CD
chr1	9712667	9714644	PIK3CD,PIK3CD-AS1
chr1	9714644	9732483	PIK3CD
chr1	9732483	9740902	PIK3CD,PIK3CD-AS2
chr1	9740902	9747632	PIK3CD,PIK3CD-AS2
chr1	9747632	9749602	PIK3CD
chr1	9749602	9751524	PIK3CD
chr1	9751524	9788980	PIK3CD
chr1	9788980	9789078	
chr1	9789078	9884584	CLSTN1
chr1	9884584	9908333	
chr1	9908333	9970316	CTNNBIP1
chr1	9970316	9982170	
chr1	9982170	9986355	LZIC
chr1	9986355	10002980	LZIC
chr1	10002980	10003485	LZIC,NMNAT1
chr1	10003485	10027438	NMNAT1
chr1	10027438	10027516	NMNAT1,MIR5697
chr1	10027516	10041824	NMNAT1
chr1	10041824	10045556	NMNAT1
chr1	10045556	10057254	
chr1	10057254	10076078	RBP7
chr1	10076078	10093040	
chr1	10093040	10241296	UBE4B
chr1	10241296	10270763	
chr1	10270763	10359023	KIF1B
chr1	10359023	10359128	RNU6-2,KIF1B
chr1	10359128	10368655	KIF1B
chr1	10368655	10441661	KIF1B
chr1	10441661	10459048	
chr1	10459048	10459174	PGD
chr1	10459174	10480568	PGD
chr1	10480568	10490158	
chr1	10490158	10490803	CENPS,CENPS-CORT
chr1	10490803	10502872	CENPS,CENPS-CORT
chr1	10502872	10509775	CENPS-CORT
chr1	10509775	10512060	CORT,CENPS-CORT
chr1	10512060	10520602	
chr1	10520602	10532613	DFFA
chr1	10532613	10535002	
chr1	10535002	10690815	PEX14
chr1	10690815	10696665	
chr1	10696665	10707262	CASZ1
chr1	10707262	10856733	CASZ1
chr1	10856733	11006529	
chr1	11006529	11042094	C1orf127
chr1	11042094	11072678	
chr1	11072678	11085549	TARDBP
chr1	11085549	11086579	
chr1	11086579	11104854	MASP2
chr1	11104854	11107296	MASP2
chr1	11107296	11114648	
chr1	11114648	11120091	SRM
chr1	11120091	11126669	
chr1	11126669	11159731	EXOSC10
chr1	11159731	11159967	EXOSC10,LOC105376736
chr1	11159967	11160075	LOC105376736
chr1	11160075	11162162	LOC105376736
chr1	11162162	11166587	
chr1	11166587	11203954	MTOR
chr1	11203954	11209595	MTOR-AS1,MTOR
chr1	11209595	11249345	MTOR
chr1	11249345	11256038	MTOR,ANGPTL7
chr1	11256038	11322608	MTOR
chr1	11322608	11333254	
chr1	11333254	11348491	UBIAD1
chr1	11348491	11359628	UBIAD1
chr1	11359628	11539294	
chr1	11539294	11597640	DISP3
chr1	11597640	11669587	
chr1	11669587	11673411	LINC01647
chr1	11673411	11708417	
chr1	11708417	11714431	FBXO2
chr1	11714431	11714888	FBXO2,FBXO44
chr1	11714888	11714913	FBXO44
chr1	11714913	11723384	FBXO44
chr1	11723384	11724149	
chr1	11724149	11734409	FBXO6
chr1	11734409	11734536	
chr1	11734536	11741271	MAD2L2
chr1	11741271	11751678	MAD2L2
chr1	11751678	11751780	
chr1	11751780	11780336	DRAXIN
chr1	11780336	11796141	
chr1	11796141	11810828	AGTRAP
chr1	11810828	11822249	
chr1	11822249	11837133	C1orf167
chr1	11837133	11839676	LOC102724659,C1orf167
chr1	11839676	11845786	C1orf167
chr1	11845786	11849642	MTHFR,C1orf167
chr1	11849642	11863734	MTHFR
chr1	11863734	11866152	MTHFR
chr1	11866152	11866160	CLCN6,MTHFR
chr1	11866160	11900375	CLCN6
chr1	11900375	11903201	CLCN6,NPPA-AS1
chr1	11903201	11905766	NPPA-AS1
chr1	11905766	11907673	NPPA,NPPA-AS1
chr1	11907673	11907840	NPPA
chr1	11907840	11917520	
chr1	11917520	11918992	NPPB
chr1	11918992	11979644	
chr1	11979644	11986485	KIAA2013
chr1	11986485	11994723	
chr1	11994723	12035599	PLOD1
chr1	12035599	12040237	
chr1	12040237	12073572	MFN2
chr1	12073572	12079298	
chr1	12079298	12089214	MIIP
chr1	12089214	12089279	MIIP,MIR6729
chr1	12089279	12092106	MIIP
chr1	12092106	12123433	
chr1	12123433	12204264	TNFRSF8
chr1	12204264	12226999	
chr1	12226999	12227059	MIR7846
chr1	12227059	12227095	TNFRSF1B,MIR7846
chr1	12227095	12251769	TNFRSF1B
chr1	12251769	12251830	TNFRSF1B,MIR4632
chr1	12251830	12269277	TNFRSF1B
chr1	12269277	12290095	
chr1	12290095	12567299	VPS13D
chr1	12567299	12567451	SNORA59B,VPS13D,SNORA59A
chr1	12567451	12572098	VPS13D
chr1	12572098	12627938	
chr1	12627938	12638984	DHRS3
chr1	12638984	12639051	DHRS3,MIR6730
chr1	12639051	12656409	DHRS3
chr1	12656409	12676788	DHRS3
chr1	12676788	12677737	DHRS3
chr1	12677737	12704565	
chr1	12704565	12727097	AADACL4
chr1	12727097	12776117	
chr1	12776117	12788726	AADACL3
chr1	12788726	12806133	
chr1	12806133	12821102	C1orf158
chr1	12821102	12834990	
chr1	12834990	12838048	PRAMEF12
chr1	12838048	12851545	
chr1	12851545	12854842	PRAMEF1
chr1	12854842	12856777	PRAMEF1
chr1	12856777	12882548	
chr1	12882548	12883086	LINC01784
chr1	12883086	12884617	
chr1	12884617	12891264	PRAMEF11
chr1	12891264	12907229	
chr1	12907229	12908157	HNRNPCL3,HNRNPCL1,HNRNPCL4
chr1	12908157	12908235	HNRNPCL3,HNRNPCL1
chr1	12908235	12908609	HNRNPCL1
chr1	12908609	12916940	
chr1	12916940	12921764	PRAMEF2
chr1	12921764	12939032	
chr1	12939032	12946025	PRAMEF4
chr1	12946025	12976466	
chr1	12976466	12980300	PRAMEF8,PRAMEF7
chr1	12980300	12998301	
chr1	12998301	12998504	PRAMEF6
chr1	12998504	13002353	PRAMEF6,PRAMEF27,PRAMEF9
chr1	13002353	13007406	PRAMEF6
chr1	13007406	13035498	
chr1	13035498	13039011	PRAMEF18
chr1	13039011	13052239	
chr1	13052239	13052393	PRAMEF25
chr1	13052393	13108513	PRAMEF25,PRAMEF26
chr1	13108513	13112702	PRAMEF25,PRAMEF26,PRAMEF5
chr1	13112702	13117751	PRAMEF5
chr1	13117751	13161985	
chr1	13161985	13167193	PRAMEF36P,PRAMEF34P
chr1	13167193	13182959	
chr1	13182959	13184326	HNRNPCL2
chr1	13184326	13194517	
chr1	13194517	13199727	PRAMEF36P,PRAMEF34P
chr1	13199727	13328195	
chr1	13328195	13328832	PRAMEF18
chr1	13328832	13359818	PRAMEF22,PRAMEF18
chr1	13359818	13359832	PRAMEF5,PRAMEF22,PRAMEF18
chr1	13359832	13364885	PRAMEF6,PRAMEF5,PRAMEF22,PRAMEF18
chr1	13364885	13368733	PRAMEF6,PRAMEF27,PRAMEF18,PRAMEF22,PRAMEF5
chr1	13368733	13368936	PRAMEF6,PRAMEF5,PRAMEF22,PRAMEF18
chr1	13368936	13369057	PRAMEF5,PRAMEF22,PRAMEF18
chr1	13369057	13386914	PRAMEF22,PRAMEF18
chr1	13386914	13390748	PRAMEF8,PRAMEF22,PRAMEF7,PRAMEF18
chr1	13390748	13409127	PRAMEF22,PRAMEF18
chr1	13409127	13409134	PRAMEF10,PRAMEF22,PRAMEF18
chr1	13409134	13414502	PRAMEF33,PRAMEF10,PRAMEF22,PRAMEF18
chr1	13414502	13421175	PRAMEF22,PRAMEF18
chr1	13421175	13424002	PRAMEF15,PRAMEF22,PRAMEF18
chr1	13424002	13427859	PRAMEF22,PRAMEF15,PRAMEF27,PRAMEF18
chr1	13427859	13428190	PRAMEF15,PRAMEF22,PRAMEF18
chr1	13428190	13447413	PRAMEF22,PRAMEF18
chr1	13447413	13452656	PRAMEF14,PRAMEF22,PRAMEF13,PRAMEF18
chr1	13452656	13474052	PRAMEF22,PRAMEF18
chr1	13474052	13477528	PRAMEF22,PRAMEF19,PRAMEF18
chr1	13477528	13477569	PRAMEF19,PRAMEF18
chr1	13477569	13495257	PRAMEF18
chr1	13495257	13498257	PRAMEF17,PRAMEF18
chr1	13498257	13516065	PRAMEF18
chr1	13516065	13526943	PRAMEF20,PRAMEF18
chr1	13526943	13607699	PRAMEF18
chr1	13607699	13611533	PRAMEF8,PRAMEF7,PRAMEF18
chr1	13611533	13629924	PRAMEF18
chr1	13629924	13629931	PRAMEF10,PRAMEF18
chr1	13629931	13635299	PRAMEF33,PRAMEF10,PRAMEF18
chr1	13635299	13641972	PRAMEF18
chr1	13641972	13644799	PRAMEF15,PRAMEF18
chr1	13644799	13648656	PRAMEF15,PRAMEF27,PRAMEF18
chr1	13648656	13648987	PRAMEF15,PRAMEF18
chr1	13648987	13668268	PRAMEF18
chr1	13668268	13673511	PRAMEF14,PRAMEF13,PRAMEF18
chr1	13673511	13694888	PRAMEF18
chr1	13694888	13698405	PRAMEF19,PRAMEF18
chr1	13698405	13716091	
chr1	13716091	13719089	PRAMEF17
chr1	13719089	13736906	
chr1	13736906	13747803	PRAMEF20
chr1	13747803	13801444	
chr1	13801444	13840242	LRRC38
chr1	13840242	13910251	
chr1	13910251	13911966	PDPN
chr1	13911966	13944452	PDPN
chr1	13944452	14026734	
chr1	14026734	14031349	PRDM2
chr1	14031349	14075875	PRDM2
chr1	14075875	14114574	PRDM2
chr1	14114574	14151574	PRDM2
chr1	14151574	14675449	
chr1	14675449	14746469	KAZN-AS1
chr1	14746469	14925212	
chr1	14925212	15250624	KAZN
chr1	15250624	15256295	KAZN
chr1	15256295	15272414	KAZN
chr1	15272414	15394651	KAZN
chr1	15394651	15438310	KAZN
chr1	15438310	15444544	KAZN,TMEM51-AS1
chr1	15444544	15478960	TMEM51-AS1
chr1	15478960	15479027	
chr1	15479027	15480206	TMEM51
chr1	15480206	15480228	TMEM51
chr1	15480228	15490691	TMEM51
chr1	15490691	15494969	C1orf195,TMEM51
chr1	15494969	15498120	C1orf195,TMEM51
chr1	15498120	15546974	TMEM51
chr1	15546974	15546976	TMEM51
chr1	15546976	15573720	
chr1	15573720	15653175	FHAD1
chr1	15653175	15670379	LOC101927417,FHAD1
chr1	15670379	15724623	FHAD1
chr1	15724623	15736390	
chr1	15736390	15756839	EFHD2
chr1	15756839	15764937	
chr1	15764937	15773153	CTRC
chr1	15773153	15783222	
chr1	15783222	15798586	CELA2A
chr1	15798586	15802595	
chr1	15802595	15817895	CELA2B
chr1	15817895	15850940	CASP9
chr1	15850940	15851285	CASP9
chr1	15851285	15853307	
chr1	15853307	15868660	DNAJC16
chr1	15868660	15868799	SCARNA21B,DNAJC16
chr1	15868799	15898193	DNAJC16
chr1	15898193	15898228	AGMAT,DNAJC16
chr1	15898228	15911605	AGMAT
chr1	15911605	15943952	
chr1	15943952	15986207	DDI2
chr1	15986207	15987552	RSC1A1,DDI2
chr1	15987552	15988525	RSC1A1
chr1	15988525	16010797	
chr1	16010797	16061264	PLEKHM2
chr1	16061264	16062808	
chr1	16062808	16066545	SLC25A34
chr1	16066545	16067887	SLC25A34,SLC25A34-AS1
chr1	16067887	16068986	SLC25A34-AS1
chr1	16068986	16074292	TMEM82,SLC25A34-AS1
chr1	16074292	16076385	SLC25A34-AS1
chr1	16076385	16083153	
chr1	16083153	16085254	FBLIM1
chr1	16085254	16090993	FBLIM1
chr1	16090993	16101715	FBLIM1
chr1	16101715	16113089	FBLIM1
chr1	16113089	16133656	
chr1	16133656	16134194	UQCRHL
chr1	16134194	16160709	
chr1	16160709	16174358	FLJ37453
chr1	16174358	16174642	FLJ37453,SPEN
chr1	16174642	16197643	SPEN
chr1	16197643	16231962	MIR5096,SPEN
chr1	16231962	16266950	SPEN
chr1	16266950	16268363	
chr1	16268363	16302627	ZBTB17
chr1	16302627	16330730	
chr1	16330730	16333190	SRARP
chr1	16333190	16340522	
chr1	16340522	16345285	HSPB7
chr1	16345285	16346089	HSPB7
chr1	16346089	16348485	
chr1	16348485	16360545	CLCNKA
chr1	16360545	16370230	
chr1	16370230	16375256	CLCNKB
chr1	16375256	16383821	CLCNKB
chr1	16383821	16384263	
chr1	16384263	16400127	FAM131C
chr1	16400127	16450831	
chr1	16450831	16482604	EPHA2
chr1	16482604	16524348	
chr1	16524348	16539166	ARHGEF19
chr1	16539166	16558181	
chr1	16558181	16563659	RSG1
chr1	16563659	16573334	
chr1	16573334	16678986	FBXO42
chr1	16678986	16693524	
chr1	16693524	16722175	SZRD1
chr1	16722175	16724643	SPATA21,SZRD1
chr1	16724643	16725137	SPATA21
chr1	16725137	16763919	SPATA21
chr1	16763919	16767166	
chr1	16767166	16786584	NECAP2
chr1	16786584	16787442	
chr1	16787442	16788301	LINC01772
chr1	16788301	16793930	LINC01772
chr1	16793930	16794976	LINC01772,CROCCP3
chr1	16794976	16819196	CROCCP3
chr1	16819196	16860336	
chr1	16860336	16860385	LOC440570
chr1	16860385	16862147	LOC440570,LINC01783
chr1	16862147	16863483	LOC440570
chr1	16863483	16875408	
chr1	16875408	16875482	MIR3675
chr1	16875482	16888921	
chr1	16888921	16940100	NBPF1
chr1	16940100	16944750	
chr1	16944750	16957401	CROCCP2
chr1	16957401	16972068	
